municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Móstoles                                    ;2020/04/19 07:00:00;502;229,7;1686;771,46;0920  
Leganés                                     ;2020/04/19 07:00:00;629;319,44;2623;1332,09;0745  
Braojos                                     ;2020/04/19 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/19 07:00:00;6;108,21;20;360,69;0506  
Algete                                      ;2020/04/19 07:00:00;33;148,62;93;418,82;0091  
Mejorada del Campo                          ;2020/04/19 07:00:00;31;126,5;160;652,9;0843  
Loeches                                     ;2020/04/19 07:00:00;7;101;48;692,54;0758  
Parla                                       ;2020/04/19 07:00:00;93;68,03;636;465,23;1065  
Fuentidueña de Tajo                         ;2020/04/19 07:00:00;;50,43;16;806,86;0604  
Ambite                                      ;2020/04/19 07:00:00;;200,4;7;1402,81;0112  
Torremocha de Jarama                        ;2020/04/19 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/19 07:00:00;;130,89;7;916,23;0127  
Los Molinos                                 ;2020/04/19 07:00:00;15;374,34;42;1048,17;0875  
Soto del Real                               ;2020/04/19 07:00:00;14;142,92;59;602,29;1441  
Valverde de Alcalá                          ;2020/04/19 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/19 07:00:00;13;152,22;25;292,74;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/19 07:00:00;;1470,59;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/19 07:00:00;;73,8;10;369;1625  
Campo Real                                  ;2020/04/19 07:00:00;;66,4;22;365,21;0339  
Valdeavero                                  ;2020/04/19 07:00:00;;0;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/19 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/19 07:00:00;26;348,67;51;683,92;0416  
Fresnedillas de la Oliva                    ;2020/04/19 07:00:00;;294,12;6;441,18;0565  
Valdilecha                                  ;2020/04/19 07:00:00;7;274,4;16;627,21;1659  
El Berrueco                                 ;2020/04/19 07:00:00;;778,82;7;1090,34;0210  
Pezuela de las Torres                       ;2020/04/19 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/19 07:00:00;;99,5;;398,01;1795  
Guadarrama                                  ;2020/04/19 07:00:00;52;329,16;118;746,93;0685  
San Martín de Valdeiglesias                 ;2020/04/19 07:00:00;19;222,77;64;750,38;1338  
Torrelodones                                ;2020/04/19 07:00:00;48;185,09;135;520,55;1527  
Boadilla del Monte                          ;2020/04/19 07:00:00;70;132,48;243;459,9;0225  
Torrejón de Velasco                         ;2020/04/19 07:00:00;;25,31;17;430,27;1505  
Villanueva de Perales                       ;2020/04/19 07:00:00;;103,73;;518,67;1782  
Tielmes                                     ;2020/04/19 07:00:00;;177,54;30;1331,56;1467  
San Sebastián de los Reyes                  ;2020/04/19 07:00:00;162;176,58;411;448;1343  
Guadalix de la Sierra                       ;2020/04/19 07:00:00;7;117,35;29;486,17;0679  
Humanes de Madrid                           ;2020/04/19 07:00:00;23;111,61;93;451,28;0730  
Chinchón                                    ;2020/04/19 07:00:00;8;155,01;23;445,65;0528  
Cadalso de los Vidrios                      ;2020/04/19 07:00:00;;65,72;7;230,04;0318  
Hoyo de Manzanares                          ;2020/04/19 07:00:00;6;78,32;24;313,28;0724  
Torrejón de la Calzada                      ;2020/04/19 07:00:00;13;150,79;31;359,59;1492  
Estremera                                   ;2020/04/19 07:00:00;;329,49;7;576,61;0552  
Corpa                                       ;2020/04/19 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/19 07:00:00;14;100,13;122;872,55;0838  
Madarcos                                    ;2020/04/19 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/19 07:00:00;;124,46;;311,14;1837  
Arganda del Rey                             ;2020/04/19 07:00:00;50;86,29;297;512,56;0148  
Collado Mediano                             ;2020/04/19 07:00:00;12;182,57;24;365,13;0468  
Daganzo de Arriba                           ;2020/04/19 07:00:00;;36,92;39;359,98;0534  
Manzanares El Real                          ;2020/04/19 07:00:00;10;115,37;33;380,71;0822  
Buitrago del Lozoya                         ;2020/04/19 07:00:00;;176,6;14;618,1;0278  
Valdelaguna                                 ;2020/04/19 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/04/19 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/19 07:00:00;;58,69;9;264,08;0360  
Miraflores de la Sierra                     ;2020/04/19 07:00:00;8;144,98;31;561,8;0856  
Paracuellos de Jarama                       ;2020/04/19 07:00:00;14;60,85;63;273,81;1049  
El Vellón                                   ;2020/04/19 07:00:00;;70,42;12;845,07;1684  
Lozoya                                      ;2020/04/19 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/19 07:00:00;137;197,76;352;508,12;0474  
Colmenarejo                                 ;2020/04/19 07:00:00;12;148,35;31;383,24;0442  
Villavieja del Lozoya                       ;2020/04/19 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/19 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/19 07:00:00;;98,98;11;362,92;0301  
Sevilla la Nueva                            ;2020/04/19 07:00:00;48;482,46;71;713,64;1415  
La Acebeda                                  ;2020/04/19 07:00:00;;0;;0;0014  
Redueña                                     ;2020/04/19 07:00:00;;0;;584,8;1219  
Robledillo de la Jara                       ;2020/04/19 07:00:00;;1851,85;;1851,85;1245  
La Serna del Monte                          ;2020/04/19 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/04/19 07:00:00;6;83,37;23;319,58;0437  
Rozas de Puerto Real                        ;2020/04/19 07:00:00;;510,2;;765,31;1283  
Valdemanco                                  ;2020/04/19 07:00:00;;135,14;;135,14;1586  
Brunete                                     ;2020/04/19 07:00:00;16;141,69;64;566,77;0262  
Titulcia                                    ;2020/04/19 07:00:00;;100,6;7;704,23;1473  
Villa del Prado                             ;2020/04/19 07:00:00;50;757,92;88;1333,94;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/04/19 07:00:00;;87,18;;261,55;9015  
Quijorna                                    ;2020/04/19 07:00:00;6;305,65;17;866,02;1198  
Valdemoro                                   ;2020/04/19 07:00:00;65;85,08;595;778,82;1610  
Tres Cantos                                 ;2020/04/19 07:00:00;87;181,06;286;595,21;9036  
Torrelaguna                                 ;2020/04/19 07:00:00;;98,81;14;276,68;1512  
Rivas-Vaciamadrid                           ;2020/04/19 07:00:00;87;101,01;493;572,38;1230  
El Atazar                                   ;2020/04/19 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/04/19 07:00:00;12;216,84;21;379,47;1087  
Santa María de la Alameda                   ;2020/04/19 07:00:00;;105,71;;105,71;1356  
Horcajuelo de la Sierra                     ;2020/04/19 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/04/19 07:00:00;41;157,15;140;536,62;0151  
Moralzarzal                                 ;2020/04/19 07:00:00;19;145,91;60;460,76;0908  
Canencia                                    ;2020/04/19 07:00:00;;0;;271;0344  
Villarejo de Salvanés                       ;2020/04/19 07:00:00;;52,49;33;433,01;1809  
Serranillos del Valle                       ;2020/04/19 07:00:00;9;236,9;27;710,71;1408  
Villaviciosa de Odón                        ;2020/04/19 07:00:00;33;118,96;162;583,99;1816  
Camarma de Esteruelas                       ;2020/04/19 07:00:00;7;98,36;40;562,03;0323  
Robledo de Chavela                          ;2020/04/19 07:00:00;8;212,2;17;450,93;1258  
Patones                                     ;2020/04/19 07:00:00;;218,34;;873,36;1071  
Navalagamella                               ;2020/04/19 07:00:00;;44,44;6;266,67;0954  
Rascafría                                   ;2020/04/19 07:00:00;;203,67;;339,44;1202  
El Boalo                                    ;2020/04/19 07:00:00;7;110,67;29;458,5;0231  
Majadahonda                                 ;2020/04/19 07:00:00;99;126,97;423;542,52;0800  
Batres                                      ;2020/04/19 07:00:00;;0;8;1797,75;0170  
Alcobendas                                  ;2020/04/19 07:00:00;207;170,77;588;485,09;0066  
Alcalá de Henares                           ;2020/04/19 07:00:00;309;147,81;2149;1028;0053  
Colmenar Viejo                              ;2020/04/19 07:00:00;107;212,29;302;599,17;0455  
San Fernando de Henares                     ;2020/04/19 07:00:00;103;245,08;356;847,07;1300  
Villalbilla                                 ;2020/04/19 07:00:00;10;89,49;86;769,57;1723  
El Escorial                                 ;2020/04/19 07:00:00;25;150,39;62;372,98;0549  
Colmenar del Arroyo                         ;2020/04/19 07:00:00;;0;;194,43;0421  
Torrejón de Ardoz                           ;2020/04/19 07:00:00;133;96,18;886;640,69;1489  
Piñuécar-Gandullas                          ;2020/04/19 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/04/19 07:00:00;;408,16;;680,27;0259  
El Molar                                    ;2020/04/19 07:00:00;14;145,92;31;323,12;0869  
Belmonte de Tajo                            ;2020/04/19 07:00:00;;72,31;;289,23;0199  
Torres de la Alameda                        ;2020/04/19 07:00:00;25;303,4;71;861,65;1548  
Somosierra                                  ;2020/04/19 07:00:00;;0;;1612,9;1436  
Alpedrete                                   ;2020/04/19 07:00:00;29;200,93;94;651,29;0105  
Orusco de Tajuña                            ;2020/04/19 07:00:00;;90,58;17;1539,86;1028  
La Hiruela                                  ;2020/04/19 07:00:00;;9090,91;;9090,91;0698  
Cervera de Buitrago                         ;2020/04/19 07:00:00;;1851,85;;2777,78;0395  
Getafe                                      ;2020/04/19 07:00:00;314;164,06;1030;538,15;0650  
Ribatejada                                  ;2020/04/19 07:00:00;;227,79;;455,58;1224  
Villaconejos                                ;2020/04/19 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/04/19 07:00:00;;100,58;15;377,17;1646  
Madrid-Retiro                               ;2020/04/18 07:00:00;277;249,16;1213;1091,08;079603
Madrid-Salamanca                            ;2020/04/18 07:00:00;278;176,69;1298;824,96;079604
Madrid-Centro                               ;2020/04/18 07:00:00;263;184,91;933;655,98;079601
Madrid-Arganzuela                           ;2020/04/18 07:00:00;293;164,24;1319;739,34;079602
Madrid-Chamartín                            ;2020/04/18 07:00:00;299;203,56;1263;859,86;079605
Madrid-Tetuán                               ;2020/04/18 07:00:00;497;304,02;1742;1065,59;079606
Madrid-Chamberí                             ;2020/04/18 07:00:00;326;219,56;1199;807,51;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/18 07:00:00;662;294,82;2408;1072,41;079608
Madrid-Moncloa-Aravaca                      ;2020/04/18 07:00:00;306;241,17;1025;807,82;079609
Madrid-Latina                               ;2020/04/18 07:00:00;561;224,79;2249;901,15;079610
Madrid-Carabanchel                          ;2020/04/18 07:00:00;524;212,65;2158;875,75;079611
Madrid-Usera                                ;2020/04/18 07:00:00;291;196,02;1173;790,15;079612
Madrid-Puente de Vallecas                   ;2020/04/18 07:00:00;541;211,55;2595;1014,72;079613
Madrid-San Blas - Canillejas                ;2020/04/18 07:00:00;289;208,1;1217;876,33;079620
Madrid-Barajas                              ;2020/04/18 07:00:00;84;159,45;366;694,75;079621
Madrid-Moratalaz                            ;2020/04/18 07:00:00;286;293,71;1137;1167,64;079614
Madrid-Ciudad Lineal                        ;2020/04/18 07:00:00;465;175,7;1830;691,46;079615
Madrid-Hortaleza                            ;2020/04/18 07:00:00;361;170,87;1485;702,88;079616
Madrid-Villaverde                           ;2020/04/18 07:00:00;327;205,6;1198;753,26;079617
Madrid-Villa de Vallecas                    ;2020/04/18 07:00:00;166;155,68;1082;1014,73;079618
Madrid-Vicálvaro                            ;2020/04/18 07:00:00;144;200,31;689;958,44;079619
Pozuelo de Alarcón                          ;2020/04/18 07:00:00;149;168,74;556;629,67;1150  
Alcorcón                                    ;2020/04/18 07:00:00;394;225,35;1436;821,32;0072  
Navalcarnero                                ;2020/04/18 07:00:00;33;116,9;135;478,23;0967  
San Agustín del Guadalix                    ;2020/04/18 07:00:00;28;192,27;51;350,2;1296  
Las Rozas de Madrid                         ;2020/04/18 07:00:00;163;170,06;585;610,34;1277  
Moraleja de Enmedio                         ;2020/04/18 07:00:00;6;112,02;20;373,41;0894  
Valdaracete                                 ;2020/04/18 07:00:00;;164,74;;823,72;1551  
Pozuelo del Rey                             ;2020/04/18 07:00:00;;202,02;;404,04;1163  
Puebla de la Sierra                         ;2020/04/18 07:00:00;;0;;0;1185  
Perales de Tajuña                           ;2020/04/18 07:00:00;;53,72;7;188,02;1104  
Valdemorillo                                ;2020/04/18 07:00:00;17;140,25;37;305,26;1603  
Navalafuente                                ;2020/04/18 07:00:00;;377,83;;629,72;0941  
Velilla de San Antonio                      ;2020/04/18 07:00:00;17;136,08;58;464,26;1678  
Villanueva de la Cañada                     ;2020/04/18 07:00:00;33;135,33;92;377,3;1760  
Villanueva del Pardillo                     ;2020/04/18 07:00:00;17;100,66;69;408,55;1776  
Nuevo Baztán                                ;2020/04/18 07:00:00;;75,22;26;391,15;1006  
Villamantilla                               ;2020/04/18 07:00:00;;0;7;829,38;1757  
Villamanta                                  ;2020/04/18 07:00:00;;140,78;9;422,34;1744  
Cabanillas de la Sierra                     ;2020/04/18 07:00:00;;518,13;9;1554,4;0297  
Cenicientos                                 ;2020/04/18 07:00:00;6;305,97;19;968,89;0376  
Puentes Viejas                              ;2020/04/18 07:00:00;;218,82;;437,64;9020  
Aranjuez                                    ;2020/04/18 07:00:00;82;129,27;386;608,54;0133  
Cercedilla                                  ;2020/04/18 07:00:00;39;520,9;85;1135,3;0382  
Santorcaz                                   ;2020/04/18 07:00:00;;0;7;1236,75;1369  
Coslada                                     ;2020/04/18 07:00:00;172;194,56;716;809,93;0493  
Morata de Tajuña                            ;2020/04/18 07:00:00;;64,37;84;1081,5;0915  
Robregordo                                  ;2020/04/18 07:00:00;;0;;0;1261  
Navarredonda y San Mamés                    ;2020/04/18 07:00:00;;1204,82;;2409,64;0973  
Venturada                                   ;2020/04/18 07:00:00;;70,82;;141,64;1697  
Navacerrada                                 ;2020/04/18 07:00:00;;71,74;12;430,42;0936  
Montejo de la Sierra                        ;2020/04/18 07:00:00;;279,33;;279,33;0881  
Fresno de Torote                            ;2020/04/18 07:00:00;;249,79;14;1165,7;0571  
Pinilla del Valle                           ;2020/04/18 07:00:00;;0;;0;1126  
Valdemaqueda                                ;2020/04/18 07:00:00;;350,88;;467,84;1599  
Navas del Rey                               ;2020/04/18 07:00:00;;101,9;45;1528,53;0992  
Olmeda de las Fuentes                       ;2020/04/18 07:00:00;;0;;1244,81;1013  
Bustarviejo                                 ;2020/04/18 07:00:00;;56,27;;281,37;0284  
Becerril de la Sierra                       ;2020/04/18 07:00:00;9;155,93;24;415,8;0186  
Fuenlabrada                                 ;2020/04/18 07:00:00;273;133,81;1299;636,72;0587  
Garganta de los Montes                      ;2020/04/18 07:00:00;;0;;364,96;0626  
Pinto                                       ;2020/04/18 07:00:00;40;75,26;191;359,35;1132  
Alameda del Valle                           ;2020/04/18 07:00:00;;0;;0;0035  
Berzosa del Lozoya                          ;2020/04/18 07:00:00;;1315,79;;1315,79;0203  
Los Santos de la Humosa                     ;2020/04/18 07:00:00;;119,12;18;1072,07;1375  
El Álamo                                    ;2020/04/18 07:00:00;28;283,6;56;567,2;0040  
Pelayos de la Presa                         ;2020/04/18 07:00:00;;75,05;15;562,85;1090  
Galapagar                                   ;2020/04/18 07:00:00;60;180,89;167;503,47;0611  
Griñón                                      ;2020/04/18 07:00:00;26;225,19;74;640,91;0663  
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/18 07:00:00;;0;;1027,4;0632  
Aldea del Fresno                            ;2020/04/18 07:00:00;10;331,56;35;1160,48;0088  
Carabaña                                    ;2020/04/18 07:00:00;;57,21;11;629,29;0357  
Talamanca de Jarama                         ;2020/04/18 07:00:00;7;223,5;23;734,36;1454  
Chapinería                                  ;2020/04/18 07:00:00;;0;6;262,24;0513  
Ciempozuelos                                ;2020/04/18 07:00:00;24;93,51;160;623,39;0409  
Ajalvir                                     ;2020/04/18 07:00:00;;105,35;12;252,84;0029  
San Lorenzo de El Escorial                  ;2020/04/18 07:00:00;40;225,8;89;502,4;1317  
Gascones                                    ;2020/04/18 07:00:00;;0;;0;0647  
San Martín de la Vega                       ;2020/04/18 07:00:00;13;63,84;67;329;1322  
Móstoles                                    ;2020/04/18 07:00:00;508;232,44;1677;767,34;0920  
Leganés                                     ;2020/04/18 07:00:00;620;314,87;2599;1319,91;0745  
Braojos                                     ;2020/04/18 07:00:00;;0;;1242,24;0246  
Cubas de la Sagra                           ;2020/04/18 07:00:00;6;108,21;20;360,69;0506  
Algete                                      ;2020/04/18 07:00:00;37;166,63;93;418,82;0091  
Mejorada del Campo                          ;2020/04/18 07:00:00;30;122,42;159;648,82;0843  
Loeches                                     ;2020/04/18 07:00:00;7;101;48;692,54;0758  
Parla                                       ;2020/04/18 07:00:00;93;68,03;633;463,04;1065  
Fuentidueña de Tajo                         ;2020/04/18 07:00:00;;100,86;16;806,86;0604  
Ambite                                      ;2020/04/18 07:00:00;;200,4;7;1402,81;0112  
Torremocha de Jarama                        ;2020/04/18 07:00:00;;0;8;996,26;1533  
Anchuelo                                    ;2020/04/18 07:00:00;;130,89;7;916,23;0127  
Los Molinos                                 ;2020/04/18 07:00:00;15;374,34;42;1048,17;0875  
Soto del Real                               ;2020/04/18 07:00:00;18;183,75;57;581,87;1441  
Valverde de Alcalá                          ;2020/04/18 07:00:00;;0;6;2255,64;1662  
Fuente el Saz de Jarama                     ;2020/04/18 07:00:00;14;163,93;24;281,03;0590  
Horcajo de la Sierra-Aoslos                 ;2020/04/18 07:00:00;;1470,59;;4411,76;0702  
Valdeolmos-Alalpardo                        ;2020/04/18 07:00:00;;73,8;10;369;1625  
Campo Real                                  ;2020/04/18 07:00:00;6;99,6;22;365,21;0339  
Valdeavero                                  ;2020/04/18 07:00:00;;0;7;664,77;1564  
Villamanrique de Tajo                       ;2020/04/18 07:00:00;;146,84;;440,53;1739  
Cobeña                                      ;2020/04/18 07:00:00;27;362,08;51;683,92;0416  
Fresnedillas de la Oliva                    ;2020/04/18 07:00:00;;294,12;6;441,18;0565  
Valdilecha                                  ;2020/04/18 07:00:00;7;274,4;16;627,21;1659  
El Berrueco                                 ;2020/04/18 07:00:00;;778,82;7;1090,34;0210  
Pezuela de las Torres                       ;2020/04/18 07:00:00;;0;;384,62;1111  
Villar del Olmo                             ;2020/04/18 07:00:00;;99,5;;398,01;1795  
Guadarrama                                  ;2020/04/18 07:00:00;52;329,16;116;734,27;0685  
San Martín de Valdeiglesias                 ;2020/04/18 07:00:00;19;222,77;64;750,38;1338  
Torrelodones                                ;2020/04/18 07:00:00;48;185,09;132;508,98;1527  
Boadilla del Monte                          ;2020/04/18 07:00:00;72;136,27;239;452,33;0225  
Torrejón de Velasco                         ;2020/04/18 07:00:00;;25,31;17;430,27;1505  
Villanueva de Perales                       ;2020/04/18 07:00:00;;207,47;;518,67;1782  
Tielmes                                     ;2020/04/18 07:00:00;;177,54;30;1331,56;1467  
San Sebastián de los Reyes                  ;2020/04/18 07:00:00;163;177,67;405;441,46;1343  
Guadalix de la Sierra                       ;2020/04/18 07:00:00;8;134,12;28;469,4;0679  
Humanes de Madrid                           ;2020/04/18 07:00:00;21;101,9;90;436,72;0730  
Chinchón                                    ;2020/04/18 07:00:00;8;155,01;23;445,65;0528  
Cadalso de los Vidrios                      ;2020/04/18 07:00:00;;65,72;7;230,04;0318  
Hoyo de Manzanares                          ;2020/04/18 07:00:00;6;78,32;24;313,28;0724  
Torrejón de la Calzada                      ;2020/04/18 07:00:00;13;150,79;31;359,59;1492  
Estremera                                   ;2020/04/18 07:00:00;;329,49;7;576,61;0552  
Corpa                                       ;2020/04/18 07:00:00;;0;6;1438,85;0480  
Meco                                        ;2020/04/18 07:00:00;14;100,13;120;858,25;0838  
Madarcos                                    ;2020/04/18 07:00:00;;0;;0;0783  
Zarzalejo                                   ;2020/04/18 07:00:00;;62,23;;248,91;1837  
Arganda del Rey                             ;2020/04/18 07:00:00;53;91,47;295;509,11;0148  
Collado Mediano                             ;2020/04/18 07:00:00;11;167,35;23;349,92;0468  
Daganzo de Arriba                           ;2020/04/18 07:00:00;;36,92;38;350,75;0534  
Manzanares El Real                          ;2020/04/18 07:00:00;9;103,83;32;369,17;0822  
Buitrago del Lozoya                         ;2020/04/18 07:00:00;;176,6;14;618,1;0278  
Valdelaguna                                 ;2020/04/18 07:00:00;;0;;121,36;1570  
Valdepiélagos                               ;2020/04/18 07:00:00;;0;;0;1631  
Casarrubuelos                               ;2020/04/18 07:00:00;;88,03;9;264,08;0360  
Miraflores de la Sierra                     ;2020/04/18 07:00:00;8;144,98;31;561,8;0856  
Paracuellos de Jarama                       ;2020/04/18 07:00:00;16;69,54;63;273,81;1049  
El Vellón                                   ;2020/04/18 07:00:00;;140,85;12;845,07;1684  
Lozoya                                      ;2020/04/18 07:00:00;;0;;236,97;0761  
Collado Villalba                            ;2020/04/18 07:00:00;141;203,54;350;505,23;0474  
Colmenarejo                                 ;2020/04/18 07:00:00;12;148,35;31;383,24;0442  
Villavieja del Lozoya                       ;2020/04/18 07:00:00;;0;;0;1821  
Prádena del Rincón                          ;2020/04/18 07:00:00;;0;;0;1179  
La Cabrera                                  ;2020/04/18 07:00:00;;98,98;11;362,92;0301  
Sevilla la Nueva                            ;2020/04/18 07:00:00;49;492,51;70;703,59;1415  
La Acebeda                                  ;2020/04/18 07:00:00;;0;;0;0014  
Redueña                                     ;2020/04/18 07:00:00;;0;;584,8;1219  
Robledillo de la Jara                       ;2020/04/18 07:00:00;;1851,85;;1851,85;1245  
La Serna del Monte                          ;2020/04/18 07:00:00;;0;;0;1381  
Colmenar de Oreja                           ;2020/04/18 07:00:00;6;83,37;23;319,58;0437  
Rozas de Puerto Real                        ;2020/04/18 07:00:00;;510,2;;765,31;1283  
Valdemanco                                  ;2020/04/18 07:00:00;;135,14;;135,14;1586  
Brunete                                     ;2020/04/18 07:00:00;15;132,84;61;540,21;0262  
Titulcia                                    ;2020/04/18 07:00:00;;100,6;6;603,62;1473  
Villa del Prado                             ;2020/04/18 07:00:00;50;757,92;86;1303,62;1718  
Lozoyuela-Navas-Sieteiglesias               ;2020/04/18 07:00:00;;174,37;;261,55;9015  
Quijorna                                    ;2020/04/18 07:00:00;6;305,65;17;866,02;1198  
Valdemoro                                   ;2020/04/18 07:00:00;68;89,01;589;770,96;1610  
Tres Cantos                                 ;2020/04/18 07:00:00;98;203,95;283;588,97;9036  
Torrelaguna                                 ;2020/04/18 07:00:00;;98,81;14;276,68;1512  
Rivas-Vaciamadrid                           ;2020/04/18 07:00:00;91;105,65;480;557,29;1230  
El Atazar                                   ;2020/04/18 07:00:00;;0;;0;0164  
Pedrezuela                                  ;2020/04/18 07:00:00;12;216,84;21;379,47;1087  
Santa María de la Alameda                   ;2020/04/18 07:00:00;;105,71;;105,71;1356  
Horcajuelo de la Sierra                     ;2020/04/18 07:00:00;;0;;0;0719  
Arroyomolinos                               ;2020/04/18 07:00:00;41;157,15;138;528,96;0151  
Moralzarzal                                 ;2020/04/18 07:00:00;22;168,94;59;453,08;0908  
Canencia                                    ;2020/04/18 07:00:00;;0;;271;0344  
Villarejo de Salvanés                       ;2020/04/18 07:00:00;;52,49;33;433,01;1809  
Serranillos del Valle                       ;2020/04/18 07:00:00;10;263,23;27;710,71;1408  
Villaviciosa de Odón                        ;2020/04/18 07:00:00;33;118,96;160;576,78;1816  
Camarma de Esteruelas                       ;2020/04/18 07:00:00;7;98,36;40;562,03;0323  
Robledo de Chavela                          ;2020/04/18 07:00:00;8;212,2;17;450,93;1258  
Patones                                     ;2020/04/18 07:00:00;;218,34;;873,36;1071  
Navalagamella                               ;2020/04/18 07:00:00;;44,44;6;266,67;0954  
Rascafría                                   ;2020/04/18 07:00:00;;135,78;;271,55;1202  
El Boalo                                    ;2020/04/18 07:00:00;7;110,67;29;458,5;0231  
Majadahonda                                 ;2020/04/18 07:00:00;104;133,39;416;533,55;0800  
Batres                                      ;2020/04/18 07:00:00;;0;8;1797,75;0170  
Alcobendas                                  ;2020/04/18 07:00:00;209;172,42;570;470,24;0066  
Alcalá de Henares                           ;2020/04/18 07:00:00;301;143,99;2125;1016,52;0053  
Colmenar Viejo                              ;2020/04/18 07:00:00;117;232,13;296;587,27;0455  
San Fernando de Henares                     ;2020/04/18 07:00:00;105;249,84;354;842,32;1300  
Villalbilla                                 ;2020/04/18 07:00:00;11;98,43;86;769,57;1723  
El Escorial                                 ;2020/04/18 07:00:00;24;144,38;60;360,95;0549  
Colmenar del Arroyo                         ;2020/04/18 07:00:00;;0;;194,43;0421  
Torrejón de Ardoz                           ;2020/04/18 07:00:00;133;96,18;872;630,56;1489  
Piñuécar-Gandullas                          ;2020/04/18 07:00:00;;0;;0;1147  
Brea de Tajo                                ;2020/04/18 07:00:00;;408,16;;680,27;0259  
El Molar                                    ;2020/04/18 07:00:00;13;135,5;30;312,7;0869  
Belmonte de Tajo                            ;2020/04/18 07:00:00;;72,31;;289,23;0199  
Torres de la Alameda                        ;2020/04/18 07:00:00;23;279,13;69;837,38;1548  
Somosierra                                  ;2020/04/18 07:00:00;;0;;1612,9;1436  
Alpedrete                                   ;2020/04/18 07:00:00;30;207,86;93;644,36;0105  
Orusco de Tajuña                            ;2020/04/18 07:00:00;;181,16;17;1539,86;1028  
La Hiruela                                  ;2020/04/18 07:00:00;;9090,91;;9090,91;0698  
Cervera de Buitrago                         ;2020/04/18 07:00:00;;1851,85;;2777,78;0395  
Getafe                                      ;2020/04/18 07:00:00;315;164,58;1021;533,44;0650  
Ribatejada                                  ;2020/04/18 07:00:00;;227,79;;455,58;1224  
Villaconejos                                ;2020/04/18 07:00:00;;0;8;180,34;1701  
Valdetorres de Jarama                       ;2020/04/18 07:00:00;;100,58;15;377,17;1646  
Madrid-Retiro                               ;2020/04/17 07:00:00;298;268,05;1186;1066,8;079603
Madrid-Salamanca                            ;2020/04/17 07:00:00;291;184,95;1260;800,81;079604
Madrid-Centro                               ;2020/04/17 07:00:00;271;190,54;904;635,59;079601
Madrid-Arganzuela                           ;2020/04/17 07:00:00;304;170,4;1287;721,4;079602
Madrid-Chamartín                            ;2020/04/17 07:00:00;305;207,65;1232;838,75;079605
Madrid-Tetuán                               ;2020/04/17 07:00:00;536;327,87;1720;1052,13;079606
Madrid-Chamberí                             ;2020/04/17 07:00:00;323;217,53;1156;778,55;079607
Madrid-Fuencarral-El Pardo                  ;2020/04/17 07:00:00;710;316,2;2343;1043,47;079608
Madrid-Moncloa-Aravaca                      ;2020/04/17 07:00:00;311;245,11;997;785,76;079609
Madrid-Latina                               ;2020/04/17 07:00:00;593;237,61;2190;877,51;079610
Madrid-Carabanchel                          ;2020/04/17 07:00:00;544;220,76;2113;857,49;079611
Madrid-Usera                                ;2020/04/17 07:00:00;277;186,59;1142;769,27;079612
Madrid-Puente de Vallecas                   ;2020/04/17 07:00:00;586;229,14;2543;994,39;079613
Madrid-San Blas - Canillejas                ;2020/04/17 07:00:00;300;216,02;1200;864,09;079620
Madrid-Barajas                              ;2020/04/17 07:00:00;84;159,45;360;683,36;079621
Madrid-Moratalaz                            ;2020/04/17 07:00:00;297;305;1116;1146,07;079614
Madrid-Ciudad Lineal                        ;2020/04/17 07:00:00;475;179,48;1790;676,35;079615
Madrid-Hortaleza                            ;2020/04/17 07:00:00;380;179,86;1462;691,99;079616
Madrid-Villaverde                           ;2020/04/17 07:00:00;317;199,32;1172;736,91;079617
Madrid-Villa de Vallecas                    ;2020/04/17 07:00:00;175;164,12;1063;996,91;079618
Madrid-Vicálvaro                            ;2020/04/17 07:00:00;168;233,7;675;938,96;079619
Pozuelo de Alarcón                          ;2020/04/17 07:00:00;136;154,02;526;595,7;1150  
